"ProductKey","CurrencyAlternateKey","LastName","FirstName","OrderDateKey","OrderQuantity","UnitPrice","SecretCode"
"346","FRF","Martinez","Rachael","20101229","1","3399.99","1VhiHJfqFO"
"336","USD","Prasad","Ruben","20101229","1","699.0982","DQjYre7oan"
"346","AUD","Zhu","Christy","20101229","1","3399.99","UltI3odexv"
"311","USD","Anand","Colin","20101230","1","3578.27","ARUdrQgFcv"
"310","AUD","Alvarez","Albert","20101230","1","3578.27","bhIKApWFPy"
"351","AUD","Ruiz","Julio","20101230","1","3374.99","7jE8NHF91d"
"311","AUD","Fernandez","Manuel","20110110","1","3578.27","eAEdkUK784"
"330","GBP","Deng","Brad","20101231","1","699.0982","k52srGalDH"
"313","AUD","Xu","Martha","20101231","1","3578.27","gecqI6APft"
"314","AUD","Raji","Katrina","20101231","1","3578.27","GqbHgVPw15"
"314","USD","Edwards","Courtney","20110101","1","3578.27","rMelyVWOE6"
"311","DEM","Henderson","Abigail","20110101","1","3578.27","HgXAQ6DC7m"
"310","USD","Rogers","Sydney","20110102","1","3578.27","56MjldZ12i"
"314","AUD","Jai","Warren","20110102","1","3578.27","GxjV0gnQ39"
"311","AUD","Gutierrez","Jonathon","20110102","1","3578.27","4xeGI5TW81"
"336","AUD","Watson","Alexandra","20110102","1","699.0982","dEYZqAjtxJ"
"311","USD","Gonzalez","Kevin","20110103","1","3578.27","AIM12Gulzn"
"312","USD","Hill","Lucas","20110103","1","3578.27","UQErJF2CGj"
"311","DEM","Sanchez","Melanie","20110103","1","3578.27","fS1JUlsY47"
"312","GBP","Blanco","Albert","20110104","1","3578.27","A0OIBKYUHN"
"332","USD","Xu","Bonnie","20110104","1","699.0982","13dWomRNn2"
"311","AUD","Raji","Misty","20110104","1","3578.27","7yzZStBp0R"
"311","DEM","Dominguez","Anne","20110105","1","3578.27","DRT6WycJfj"
"332","USD","Huang","Kelvin","20110105","1","699.0982","Ik4wGgebn8"
"311","AUD","Gonzales","Logan","20110105","1","3578.27","lrEVGmIs4p"
"346","GBP","Prasad","Mayra","20110106","1","3399.99","JyEBWHaTMu"
"346","USD","Cooper","Garrett","20110106","1","3399.99","yGsw8eYotu"
"314","AUD","Zheng","Rosa","20110106","1","3578.27","Egju7riCp0"
"347","AUD","Mehta","Marco","20110109","1","3399.99","ZUufioSVkE"
"312","USD","Cook","Patrick","20110106","1","3578.27","qaBVyzG4Am"
"312","USD","Brooks","Richard","20110107","1","3578.27","CHVEX0xpIz"
"351","GBP","Goel","Latoya","20110119","1","3374.99","VseTx6WgcS"
"311","DEM","Andersen","Lindsey","20110108","1","3578.27","OovnRd8xl9"
"312","FRF","Ramos","Melody","20110108","1","3578.27","xKPv1c45RL"
"310","GBP","Sai","Phillip","20110108","1","3578.27","rd7XNshJt0"
"312","AUD","Arun","Cory","20110108","1","3578.27","xZgXhnRML3"
"310","USD","Martinez","Jeremiah","20110109","1","3578.27","fvstKLokeP"
"344","AUD","Lu","Curtis","20101230","1","3399.99","4y8ER1NXcU"
"313","AUD","Ward","Haley","20110109","1","3578.27","CpIf1Zrwky"
"310","AUD","Arthur","Tabitha","20110111","1","3578.27","ZHJK1Sai2I"
"312","AUD","Liang","Kelvin","20110110","1","3578.27","cRJTSPsx2n"
"314","USD","Jackson","Christian","20110111","1","3578.27","4a239eMfLE"
"313","USD","Hughes","Alexandria","20110111","1","3578.27","r2C9GynFTR"
"311","FRF","Lu","Stacey","20110111","1","3578.27","Cdx0GSNMWi"
"313","FRF","Raji","Darrell","20110111","1","3578.27","MVEmbT1Lr3"
"311","DEM","Adams","Luke","20110111","1","3578.27","ls0p7Ou1Gv"
"312","USD","Phillips","Morgan","20110112","1","3578.27","xe8zoNa6r1"
"311","USD","Long","Kayla","20110112","1","3578.27","BM1fuzZIHO"
"350","AUD","Wang","Shannon","20110112","1","3374.99","ESY7H3oTgw"
"310","USD","Li","Jackson","20110113","1","3578.27","EotMrSbZaK"
"310","DEM","Chander","Jon","20110113","1","3578.27","XsTfoV6wkm"
"314","AUD","Gao","Tiffany","20110113","1","3578.27","D2dgvGakLy"
"310","AUD","Fernandez","Brenda","20110113","1","3578.27","ZdwjW3xzKo"
"314","USD","Carter","Courtney","20110114","1","3578.27","cL9IpWJmRw"
"310","AUD","Ashe","Ebony","20110114","1","3578.27","NaxEZcJiTH"
"350","AUD","Beck","Alejandro","20110106","1","3374.99","ChAZUqopg9"
"313","AUD","Holt","Krystal","20110115","1","3578.27","mlCG8EQL2j"
"350","AUD","Huang","Eugene","20110115","1","3374.99","JcZ3VP8tx4"
"312","USD","Bailey","Evan","20110116","1","3578.27","KrqLSGAzN6"
"312","CAD","Jenkins","Gabrielle","20110116","1","3578.27","4E8jLYywWZ"
"330","USD","Washington","Ashley","20110116","1","699.0982","BKP7AwjqcT"
"312","AUD","Huang","Damien","20110116","1","3578.27","Ik2KE9BmuZ"
"314","AUD","Perez","Arthur","20110116","1","3578.27","L6VYgHFaBM"
"313","AUD","Raman","Roy","20110116","1","3578.27","dSiBkbQVpU"
"347","AUD","Zhao","Jessie","20110116","1","3399.99","FBo3fNCUAv"
"314","DEM","Flores","James","20110117","1","3578.27","EXkwSODWcM"
"345","AUD","Rai","Clarence","20110117","1","3399.99","792dNcT8DI"
"326","AUD","Zhang","Warren","20110117","1","699.0982","pl5VaNW7oA"
"311","FRF","Diaz","Melody","20110118","1","3578.27","2BERjWuTG0"
"312","AUD","Ramos","Monique","20110118","1","3578.27","st4NJX3hvi"
"312","AUD","She","Melvin","20110118","1","3578.27","kPrhjDOYe8"
"312","AUD","Thompson","Cameron","20110118","1","3578.27","tKEUPsfHoD"
"311","FRF","Raman","Ivan","20110119","1","3578.27","WwuMraHseP"
"344","DEM","Lal","Don","20110119","1","3399.99","0gvDM2LAKp"
"346","AUD","Suarez","Jacquelyn","20110114","1","3399.99","RNzL6omsSc"
"351","USD","Butler","Tristan","20110119","1","3374.99","5vht9YqBrj"
"344","USD","Perry","Abigail","20110119","1","3399.99","HiPso9Mn31"
"314","AUD","Lal","Dustin","20110119","1","3578.27","kUFV7s83Ea"
"312","AUD","Lal","Andres","20110119","1","3578.27","WN9TBmuhG2"
"347","AUD","Moreno","Jimmy","20110119","1","3399.99","JOBguco2y9"
"312","USD","Henderson","Maria","20110120","1","3578.27","h5yqt0WsbZ"
"342","FRF","Gomez","Jaime","20110120","1","699.0982","lMKNGBWzR6"
"312","AUD","Ramos","Francis","20110120","1","3578.27","EfQonlUOqY"
"310","AUD","She","Tonya","20110120","1","3578.27","JPnSYywsdX"
"312","AUD","Gomez","Danny","20110120","1","3578.27","qj6tILAaKZ"
"311","GBP","Butler","Blake","20110121","1","3578.27","PsoyDT7Bth"
"312","FRF","Moreno","Armando","20110121","1","3578.27","5OZHL7QeGd"
"314","CAD","Sanders","Alexa","20110122","1","3578.27","MJbVYZGuHf"
"346","AUD","Torres","Ruben","20110107","1","3399.99","se5FVhLECa"
"328","USD","Hernandez","Samuel","20110122","1","699.0982","MdBVwYTFcs"
"312","AUD","Huang","Sandra","20110122","1","3578.27","4dDeLtyZl8"
"312","FRF","Lin","Ernest","20110123","1","3578.27","Ej7P3C9raS"
"310","AUD","Thompson","Fernando","20110123","1","3578.27","0oOdtLTxeD"
"310","FRF","Henderson","Kaitlyn","20110130","1","3578.27","kRPK79FfiZ"
"346","AUD","Sai","Harold","20110123","1","3399.99","yklPZsDT8X"
"312","USD","Zheng","Bianca","20110124","1","3578.27","b3OLTVxSDk"
"350","FRF","Suri","Frederick","20110124","1","3374.99","AoTdZXyVFc"
